X,Y,Z,Class
1885,1551,715,1
1872,1561,695,1
1908,1577,721,1
1916,1580,726,1
1911,1587,726,1
1872,1561,746,1
1875,1568,746,1
1898,1531,715,1
1890,1531,710,1
1887,1528,715,1
1893,1561,756,1
1903,1563,756,1
1877,1561,778,1
1880,1568,778,1
1891,1572,778,1
1898,1577,763,1
1893,1570,771,1
1837,1575,781,1
1847,1577,781,1
1842,1577,787,1
1867,1582,746,1
1875,1572,751,1
1842,1580,768,1
1845,1570,771,1
1842,1577,756,1
1872,1548,753,1
1867,1553,758,1
1837,1563,738,1
1850,1570,733,1
1840,1566,738,1
1872,1563,771,1
1862,1543,761,1
1847,1551,756,1
1852,1548,758,1
1862,1546,761,1
1860,1546,751,1
1860,1553,753,1
1855,1546,790,1
1850,1543,807,1
1860,1551,790,1
1860,1546,805,1
1852,1553,805,1
1855,1541,781,1
1865,1541,773,1
1857,1543,771,1
1860,1585,785,1
1860,1590,773,1
1882,1580,736,1
1890,1580,733,1
1896,1590,723,1
1850,1563,771,1
1857,1563,781,1
1835,1551,766,1
1832,1556,763,1
1842,1556,763,1
1852,1543,787,1
1837,1531,795,1
1870,1533,790,1
1867,1548,800,1
1877,1546,792,1
1877,1546,763,1
1862,1531,756,1
1887,1561,773,1
1906,1572,787,1
1891,1563,776,1
1903,1556,790,1
1908,1558,815,1
1891,1570,776,1
1890,1577,773,1
1890,1592,785,1
1870,1531,771,1
1867,1533,787,1
1872,1568,802,1
1875,1572,815,1
1877,1563,810,1
1872,1551,771,1
1872,1561,773,1
1877,1553,778,1
1877,1551,776,1
1867,1556,776,1
1890,1546,771,1
1880,1553,776,1
1896,1543,776,1
1885,1543,776,1
1882,1543,778,1
1832,1533,746,1
1852,1533,741,1
1845,1543,731,1
1867,1546,736,1
1847,1551,736,1
1857,1553,753,1
1855,1543,748,1
-230,-1045,66,1
-220,-1042,63,1
-247,-1045,61,1
-247,-1042,53,1
-251,-1037,66,1
-253,-1078,71,1
-245,-1071,66,1
-222,-1068,56,1
-227,-1057,51,1
-217,-1062,48,1
-230,-1032,58,1
-242,-1032,71,1
-245,-1022,61,1
-232,-1013,78,1
-230,-1018,78,1
-232,-1025,81,1
-230,-1021,101,1
-205,-1003,98,1
-247,-1052,86,1
-247,-1055,83,1
-237,-1027,73,1
-237,-1027,71,1
-212,-1030,78,1
-232,-1027,93,1
-217,-1018,76,1
-245,-1025,66,1
-251,-1022,56,1
-240,-1011,61,1
-237,-1032,61,1
-245,-1018,68,1
-250,-1021,68,1
-232,-1032,46,1
-245,-1042,41,1
930,1457,118,0
905,1467,157,0
897,1470,152,0
900,1457,145,0
912,1433,88,0
922,1436,98,0
905,1436,132,0
905,1428,126,0
905,1426,126,0
882,1431,123,0
877,1438,121,0
882,1436,132,0
887,1426,106,0
892,1418,93,0
892,1418,98,0
897,1442,106,0
897,1450,106,0
925,1452,152,0
927,1455,155,0
930,1447,145,0
935,1455,135,0
940,1467,128,0
937,1467,145,0
910,1462,137,0
907,1447,128,0
890,1442,121,0
887,1438,135,0
885,1450,121,0
905,1450,113,0
900,1442,118,0
900,1450,123,0
915,1441,108,0
920,1433,118,0
861,1447,126,0
861,1447,118,0
897,1428,113,0
887,1421,116,0
892,1428,103,0
890,1455,103,0
882,1467,101,0
892,1475,106,0
907,1455,108,0
907,1457,113,0
910,1462,116,0
915,1442,101,0
935,1450,116,0
910,1421,93,0
895,1428,93,0
897,1431,91,0
890,1426,96,0
895,1418,88,0
887,1426,96,0
887,1401,60,0
887,1396,71,0
882,1416,66,0
882,1421,66,0
863,1423,62,0
885,1431,86,0
887,1442,98,0
875,1428,106,0
900,1447,78,0
900,1441,78,0
887,1445,78,0
877,1438,126,0
875,1445,132,0
877,1452,101,0
880,1455,106,0
877,1457,101,0
897,1445,106,0
880,1442,101,0
887,1442,106,0
932,1465,91,0
935,1450,96,0
935,1457,78,0
935,1470,103,0
945,1472,96,0
912,1460,88,0
905,1460,93,0
892,1460,86,0
892,1457,98,0
912,1462,101,0
905,1475,108,0
915,1441,98,0
910,1460,96,0
915,1447,98,0
890,1482,106,0
892,1477,118,0
890,1480,55,0
890,1497,73,0
880,1480,55,0
915,1477,106,0
905,1482,121,0
925,1480,111,0
917,1465,137,0
922,1470,145,0
922,1455,103,0
920,1442,93,0
925,1438,111,0
922,1467,98,0
915,1467,101,0
915,1465,116,0
902,1450,135,0
890,1433,126,0
885,1438,106,0
902,1450,73,0
902,1441,73,0
895,1447,76,0
915,1445,91,0
905,1447,83,0
917,1445,73,0
927,1450,83,0
910,1452,81,0
912,1455,116,0
917,1462,116,0
910,1457,111,0
892,1472,96,0
895,1462,96,0
897,1467,103,0
897,1438,135,0
887,1441,147,0
917,1455,108,0
902,1445,103,0
905,1460,111,0
885,1433,123,0
